artist_id,album_id,album_name,release_date,total_tracks,album_type
5FgkTUuCNKDlilidPvZqOq,0HXxKGN9OFwFM2oagtWgy5,10 ans !,2024-11-15,49,album
5FgkTUuCNKDlilidPvZqOq,4B1QzSiWpXyTqqHcCacF4B,Scott Joplin – The King of Ragtime: Complete Piano Works,2022-06-03,56,album
5FgkTUuCNKDlilidPvZqOq,4p0kK617C4LkEIlqBL00If,Syncopated Musings,2022-02-11,17,album
5FgkTUuCNKDlilidPvZqOq,71onYQW5RAV3c9PHAtkwYp,REFLECTIONS: Scott Joplin Reconsidered,2022-02-04,18,album
5FgkTUuCNKDlilidPvZqOq,6EeuhWrfzV2zWrp5idkiLg,"Joplin: Rags, Marches, Waltzes & Other Piano Works",2019-07-10,55,album
5FgkTUuCNKDlilidPvZqOq,0hyyjBh3bDAx1b1ePdCidR,Joplin: The Entertainer,2018-10-05,15,album
5FgkTUuCNKDlilidPvZqOq,0ewUAHaISymm0ywE1FdAKX,Joplin: Rags & Waltzes,2018-02-02,33,album
5FgkTUuCNKDlilidPvZqOq,3Wykt4tgkOmbj1hBnCZwyR,The Complete Piano Works of Scott Joplin,2017-05-19,54,album
5FgkTUuCNKDlilidPvZqOq,49Hxs2VySJfPYpj7b9dGvS,The Easy Winners & Other Rag-Time Music of Scott Joplin,2015-08-28,10,album
5FgkTUuCNKDlilidPvZqOq,5Xu2pGSU9i3NKKVMDjQwSO,Joplin: Euphonic Sounds,2015-03-17,16,album
5FgkTUuCNKDlilidPvZqOq,43VfaYiSqS9jm3LyxVszr8,Scott Joplin: Treemonisha,2011-12-01,29,album
5FgkTUuCNKDlilidPvZqOq,00hTiYtvFtdxKOiDta1kNU,"Joplin: Piano Rags, Vol. 2",2007-05-29,16,album
5FgkTUuCNKDlilidPvZqOq,3EKlROHx6QjV1V8ABeckbb,Scott Joplin Piano Rags,2005-11-01,17,album
5FgkTUuCNKDlilidPvZqOq,0SGFmW4aFjqpFEikbEUh4c,Scott Joplin: Treemonisha,2005-01-01,27,album
5FgkTUuCNKDlilidPvZqOq,0lNT0wgggNxAUsquXDQX7X,"Joplin: Piano Rags, Vol. 1",2004-07-28,14,album
5FgkTUuCNKDlilidPvZqOq,3obwx6HZxOb48IJlMkxc03,"Scott Joplin on Guitar, Vol. 4",1999-01-01,14,album
