artist_id,track_id,track_name,album_name,release_date,popularity,duration_ms,preview_url,spotify_url
5FgkTUuCNKDlilidPvZqOq,6DWIm1TfM9WiCNQeLbbAsd,The Entertainer,Fingerbreaker: Classics Of Ragtime And Early Jazz Piano,1999-01-01,47,233600,,https://open.spotify.com/track/6DWIm1TfM9WiCNQeLbbAsd
5FgkTUuCNKDlilidPvZqOq,5isqktHl4sn3tmbVgiH9BV,The Entertainer - The Sting/Soundtrack Version/Orchestra Version,Music Therapy,2021-03-12,19,183360,,https://open.spotify.com/track/5isqktHl4sn3tmbVgiH9BV
5FgkTUuCNKDlilidPvZqOq,4AE032Y0x1WPOi5CsmggnU,Maple Leaf Rag,"Joplin: Piano Rags, Vol. 1",2004-07-28,42,189906,,https://open.spotify.com/track/4AE032Y0x1WPOi5CsmggnU
5FgkTUuCNKDlilidPvZqOq,62UCBLV4ZmkNo6RQ30iuF0,Stoptime Rag,"Joplin: Piano Rags, Vol. 2",2007-05-29,32,168586,,https://open.spotify.com/track/62UCBLV4ZmkNo6RQ30iuF0
5FgkTUuCNKDlilidPvZqOq,1HAflFvM0fNSOi7h97tccy,Elite Syncopations (arr. I. Perlman for violin and piano),"Gershwin, G.: Porgy and Bess Suite / 3 Preludes / Antheil, G.: Violin Sonata No. 2 / Copland, A.: 2 Pieces (Trusler, Marshall) (Blues)",2006-01-01,31,184720,,https://open.spotify.com/track/1HAflFvM0fNSOi7h97tccy
5FgkTUuCNKDlilidPvZqOq,5cO1oGqX8S2w96CwISPlLE,Maple Leaf Rag,Scott Joplin Piano Rags,2005-11-01,30,200106,,https://open.spotify.com/track/5cO1oGqX8S2w96CwISPlLE
5FgkTUuCNKDlilidPvZqOq,19EpWpKyjYxPiZSomHxvln,Maple Leaf Rag,Piano Book (Deluxe Edition),2019-03-29,25,207746,,https://open.spotify.com/track/19EpWpKyjYxPiZSomHxvln
5FgkTUuCNKDlilidPvZqOq,5MI9eNLuAgEZzK5GqZACRK,Pine Apple Rag,"Joplin: Piano Rags, Vol. 1",2004-07-28,28,222586,,https://open.spotify.com/track/5MI9eNLuAgEZzK5GqZACRK
5FgkTUuCNKDlilidPvZqOq,4YJw1jG9PC056RT1SdvyDH,The Ragtime Dance (arr. I. Perlman for violin and piano),"Gershwin, G.: Porgy and Bess Suite / 3 Preludes / Antheil, G.: Violin Sonata No. 2 / Copland, A.: 2 Pieces (Trusler, Marshall) (Blues)",2006-01-01,28,204466,,https://open.spotify.com/track/4YJw1jG9PC056RT1SdvyDH
5FgkTUuCNKDlilidPvZqOq,0bKewqEAZeQkFqWd3XW3CK,The Ragtime Dance,Scott Joplin Piano Rags,2005-11-01,27,198293,,https://open.spotify.com/track/0bKewqEAZeQkFqWd3XW3CK
